ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Dollar Lake,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,09/21/2016,09/25/2016,4,1
Thomas Raddall,QC ,CANADA ,1,,1,Senior,CampsitePermit,Less than 30ft,08/01/2016,08/06/2016,5,1
Amherst Shore,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,09/16/2016,09/18/2016,2,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,08/26/2016,08/28/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,07/29/2016,07/31/2016,2,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,07/29/2016,08/01/2016,3,1
Graves Island,NS ,CANADA ,5,,5,Full,CampsitePermit,Single Tent,08/11/2016,08/12/2016,1,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,08/07/2016,08/13/2016,6,1
Laurie,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,07/12/2016,07/14/2016,2,1
Smileys,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,08/19/2016,08/20/2016,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/18/2016,07/20/2016,2,1
Laurie,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,07/22/2016,07/24/2016,2,1
Smileys,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,07/30/2016,07/31/2016,1,1
Rissers Beach,NS ,CANADA ,2,4,6,Full,CampsitePermit,Tents,08/19/2016,08/20/2016,1,1
Amherst Shore,SK ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,09/20/2016,09/21/2016,1,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/24/2016,07/26/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,05/20/2016,05/23/2016,3,1
Ellenwood Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/12/2016,07/17/2016,5,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,09/02/2016,09/05/2016,3,1
Rissers Beach,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,06/04/2016,06/05/2016,1,1
Thomas Raddall,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,09/09/2016,09/11/2016,2,1
Amherst Shore,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/21/2016,07/22/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/06/2016,08/07/2016,1,1
Smileys,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,06/17/2016,06/19/2016,2,1
Battery,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,08/10/2016,08/11/2016,1,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,06/24/2016,06/26/2016,2,1
Caribou Munroes,ON ,CANADA ,1,,1,Senior,CampsitePermit,Less than 20ft,06/27/2016,06/28/2016,1,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/29/2016,07/31/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,06/30/2016,07/02/2016,2,1
Graves Island,ON ,CANADA ,1,,1,Senior,CampsitePermit,Single Tent,07/19/2016,07/20/2016,1,1
Rissers Beach,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 30ft,06/10/2016,06/12/2016,2,1
Dollar Lake,NS ,CANADA ,4,2,6,Full,CampsitePermit,Less than 20ft,07/13/2016,07/16/2016,3,1
Rissers Beach,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,06/27/2016,06/28/2016,1,1
Graves Island,ON ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,07/17/2016,07/21/2016,4,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,09/04/2016,09/05/2016,1,1
Whycocomagh,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/20/2016,08/21/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,09/08/2016,09/09/2016,1,1
Five Islands,PE ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/14/2016,07/16/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,06/24/2016,06/26/2016,2,1
Five Islands,ON ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/04/2016,07/05/2016,1,1
Smileys,PE ,CANADA ,4,,4,Full,CampsitePermit,Less than 30ft,08/08/2016,08/10/2016,2,1
Porters Lake,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,08/23/2016,08/24/2016,1,1
Graves Island,NS ,CANADA ,3,,3,Full,CampsitePermit,Less than 30ft,08/19/2016,08/21/2016,2,1
Caribou Munroes,NS ,CANADA ,3,,3,Full,CampsitePermit,Tents,09/02/2016,09/05/2016,3,1
Dollar Lake,NS ,CANADA ,4,,4,Full,CampsitePermit,Single Tent,09/10/2016,09/11/2016,1,1
Thomas Raddall,NS ,CANADA ,1,5,6,Full,CampsitePermit,Tents,08/31/2016,09/02/2016,2,1
Graves Island,NB ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,09/17/2016,09/18/2016,1,1
Rissers Beach,BC ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,07/18/2016,07/19/2016,1,1
Graves Island,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 30ft,09/09/2016,09/11/2016,2,1
Caribou Munroes,NB ,CANADA ,4,,4,Full,CampsitePermit,Single Tent,08/09/2016,08/11/2016,2,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,06/30/2016,07/01/2016,1,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,09/23/2016,09/25/2016,2,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/19/2016,08/21/2016,2,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,07/17/2016,07/21/2016,4,1
Battery,AB ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,08/01/2016,08/06/2016,5,1
Amherst Shore,BC ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,08/24/2016,08/25/2016,1,1
Graves Island,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,09/16/2016,09/18/2016,2,1
Battery,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/29/2016,08/30/2016,1,1
Laurie,NS ,CANADA ,6,,6,Full,CampsitePermit,Tents,07/23/2016,07/24/2016,1,1
